,title,link,author,published,long,lat,summary_pydeck
10,"Investigation into eight knife-point robberies, Suspect sought, Security camera images released",http://torontopolice.on.ca/newsreleases/47466,b87793@torontopolice.on.ca (b87793),"Mon, 29 Jun 2020 16:30:00 -0400",-79.385269,43.661188,"The Toronto Police Service Hold Up Squad is requesting the public's assistance in identifying a man in connection with eight knife-point robberies in the east area of Toronto.

It is alleged that:

- between February 2020 and March 2020, a man entered various spas or massage parlours posing as a client

- in each instance, he forced the victims into a chokehold then held a knife to their throat

- the man would then demand their money and, in some instances, their personal belongings

- he then escaped each location on foot

- no injuries were sustained by any of the victims

The man is described as thin build, approximately 5&#8217;5&#8221;, 25-30 years old, with black hair and speaks Mandarin. 


Anyone with information is asked to contact police at 416-808-7350 Crime Stoppers anonymously at 416-222-TIPS (8477), online at www.222tips.com, online on our Facebook Leave a Tip page, or text TOR and your message to CRIMES (274637). Download the free Crime Stoppers Mobile App on iTunes or Google Play.


For more news, visit TPSnews.ca."
11,"Public's assistance sought in Theft Investigation, Jameson Avenue and Queen Street West area, Speed camera stolen,",http://torontopolice.on.ca/newsreleases/47441,b87793@torontopolice.on.ca (b87793),"Mon, 29 Jun 2020 11:55:00 -0400",-79.4394622,43.6404753,"The Toronto Police Service is requesting the public&#8217;s assistance after a photo radar speed camera was stolen.

On Friday, June 12, 2020, police responded to a call for a theft in the Jameson Avenue and Queen Street West area.

It has been reported that:

- the City of Toronto has an Automated Speed Enforcement (ASE) system installed in the Jameson Avenue and Queen Street West area

- sometime between Wednesday, June 10, 2020, and Friday, June 12, 2020, the device was taken from its location

- the device weighs approximately 800 lbs and typically requires a hydraulic lift to remove it

Anyone with information is asked to contact police at 416-808-1400, Crime Stoppers anonymously at 416-222-TIPS (8477), online at www.222tips.com, online on our Facebook Leave a Tip page, or text TOR and your message to CRIMES (274637). Download the free Crime Stoppers Mobile App on iTunes or Google Play.


For more news, visit TPSnews.ca."
12,"Missing woman located, Oak Street and Parliament Street area, Sasikumary Amarasingam, 47",http://torontopolice.on.ca/newsreleases/47468,b9231@torontopolice.on.ca (b9231),"Mon, 29 Jun 2020 10:34:00 -0400",-79.385269,43.661188,"The Toronto Police Service would like to thank the public for their assistance locating a missing woman.

Sasikumary Amarasingam, 47, was last seen on Thursday, June 25, 2020, at 10:30 p.m., in the Oak Street and Parliament Street area.

See previous release. 

She was located on Friday, June 26, 2020, at 1:22 p.m."
13,"Missing woman located, Caledonia Road and Lawrence Avenue West area, Yuliya Mokhnach, 40",http://torontopolice.on.ca/newsreleases/47465,b9231@torontopolice.on.ca (b9231),"Mon, 29 Jun 2020 08:06:00 -0400",-79.4687948,43.7114315,"The Toronto Police Service would like to thank the public for their assistance locating a missing woman.

Yuliya Mokhnach, 40, was last seen on Friday, June 26, 2020, at approximately 12 p.m., in the Caledonia Road and Lawrence Avenue West area.


See previous release. 

She was located on Monday, June 29, 2020, at 2:45 a.m."
14,"Missing woman, Keele Street and Eglinton Avenue West area, Angelina Raviele, 45",http://torontopolice.on.ca/newsreleases/47464,b9231@torontopolice.on.ca (b9231),"Mon, 29 Jun 2020 07:54:00 -0400",-79.4760383,43.6904356,"The Toronto Police Service is requesting the public&#8217;s assistance locating a missing person.

Angelina Raviele, 45, was last seen in the evening on Saturday, June 27, 2020, in the Keele Street and Eglinton Avenue West area.

She is described as 5'7"", heavy build, with dark brown hair in a ponytail.

She was wearing a purple shirt with a black stripe, black pants and black slippers.

Police are concerned for her safety.

Anyone with information is asked to contact police at 416-808-1200, Crime Stoppers anonymously at 416-222-TIPS (8477), online at www.222tips.com, online on our Facebook Leave a Tip page, or text TOR and your message to CRIMES (274637). Download the free Crime Stoppers Mobile App on iTunes or Google Play.


For more news, visit TPSnews.ca."
15,"Further charges laid in sexual assault investigation, Allan Gordon, 75",http://torontopolice.on.ca/newsreleases/47461,b3856@torontopolice.on.ca (b3856),"Sun, 28 Jun 2020 11:30:00 -0400",-79.3922735,43.6575439,"The Toronto Police Service would like to make the public aware of more charges laid in a sexual assault investigation.

It is alleged that:

- between 2002 and 2016, while at Wasser Pain Management Centre, 600 University Avenue, a neurologist sexually assaulted five patients

On Friday, December 20, 2019, Allan Gordon, 75, was arrested and charged with: 

1) five counts of Sexual Assault

On Saturday, June 27, 2020, he was further charged with:

1)  14 counts of Sexual Assault
2)  Sexual Assault with a Weapon

He will appear at court at Old City Hall on Wednesday, September 2, 2020, at 11 a.m., in room 111.

Police believe there may be other victims.

Allan Gordon worked as a neurologist from 1975 to 1998 in Toronto.  He was also the Director of Neurology at a clinic located at 600 University Avenue.

Anyone with information is asked to contact police at 416-808-5200, Crime Stoppers anonymously at 416-222-TIPS (8477), online at www.222tips.com, online on our Facebook Leave a Tip page, or text TOR and your message to CRIMES (274637). Download the free Crime Stoppers Mobile App on iTunes or Google Play.

A sexual assault is any form of unwanted sexual contact. It includes, but is not limited to, kissing, grabbing, oral sex and penetration. To learn more about sexual assault, including how to report a sexual assault, please visit our Sex Crimes website.


For more news, visit TPSnews.ca."
16,"Missing man,  Highway 401 and Dufferin Street area, Vinay Vinay, 25",http://torontopolice.on.ca/newsreleases/47463,b9231@torontopolice.on.ca (b9231),"Sun, 28 Jun 2020 07:28:00 -0400",-79.4581611,43.7235132,"The Toronto Police Service requests the public&#8217;s assistance locating a missing man.

Vinay Vinay, 25 was last seen on Saturday, June 27, 2020, at 8 p.m., in the Highway 401 and Dufferin Street area.

He is described as 6'2"", heavy set, with short black hair, full black beard and tattoos on both forearms.

Police are concerned for his safety.

Anyone with information is asked to contact police at 416-808-2300, Crime Stoppers anonymously at 416-222-TIPS (8477), online at www.222tips.com, online on our Facebook Leave a Tip page, or text TOR and your message to CRIMES (274637). Download the free Crime Stoppers Mobile App on iTunes or Google Play.


For more news, visit TPSnews.ca."
17,"Missing man, Berry Road and Park Lawn Road area, Andrzej Witkowski, 63",http://torontopolice.on.ca/newsreleases/47462,b9231@torontopolice.on.ca (b9231),"Sun, 28 Jun 2020 07:10:00 -0400",-79.4955724,43.6361637,"The Toronto Police Service requests the public&#8217;s assistance locating a missing man.

Andrzej Witkowski, 63, was last seen on Saturday, June 27, 2020, at 6:00 p.m., in the Berry Road and Park Lawn Road area.

He is described as  5'7"", 201 lbs, with short white hair, blue eyes and a grey goatee.

He was last seen driving a 2003 silver Mazda Tribute bearing Ontario licence plate CDMT056.

Police are concerned for his safety.

Anyone with information is asked to contact police at 416-808-1100, Crime Stoppers anonymously at 416-222-TIPS (8477), online at www.222tips.com, online on our Facebook Leave a Tip page, or text TOR and your message to CRIMES (274637). Download the free Crime Stoppers Mobile App on iTunes or Google Play.


For more news, visit TPSnews.ca."
18,"Missing woman, Caledonia Road and Lawrence Avenue West area, Yuliya Mokhnach, 40",http://torontopolice.on.ca/newsreleases/47459,b3856@torontopolice.on.ca (b3856),"Sat, 27 Jun 2020 22:19:00 -0400",-79.4687948,43.7114315,"The Toronto Police Service requests the public&#8217;s assistance locating a missing woman.

Yuliya Mokhnach, 40, was last seen on Friday, June 26, 2020, at approximately 12 p.m., in the Caledonia Road and Lawrence Avenue West area. 

She is described as 5&#8217;5&#8221;, 185 lbs., with a heavy build, long brown hair, and brown eyes.  She was last seen wearing a grey winter toque, black hoodie, blue jeans, and black and white slip-on running shoes. 

Police are concerned for her safety.


Anyone with information is asked to contact police at 416-808-3200, Crime Stoppers anonymously at 416-222-TIPS (8477), online at www.222tips.com, online on our Facebook Leave a Tip page, or text TOR and your message to CRIMES (274637). Download the free Crime Stoppers Mobile App on iTunes or Google Play.


For more news, visit TPSnews.ca."
19,"Homicide #34/2020, Ontario Street and Wellesley Street East area, Update, Connor Madison, 22, wanted for Second Degree Murder",http://torontopolice.on.ca/newsreleases/47458,b3856@torontopolice.on.ca (b3856),"Sat, 27 Jun 2020 20:00:00 -0400",-79.385269,43.661188,"The Toronto Police Service would like to make the public aware of a man wanted in a homicide investigation.

The Toronto Police Service received a radio call to attend the area of Ontario Street and Wellesley Street East on Thursday, June 25, 2020, at 11:34 p.m.

See previous release.

Connor Madison, 22, of Toronto, is now wanted for:

1)  Second Degree Murder

He is described as 5'8"", 122 lbs., with short brown hair, and blue eyes.  

Images of him are now released.

He is considered armed, violent, and dangerous. If located, do not approach. Call 9-1-1 immediately.


Anyone with information is asked to contact police at 416-808-7400, Crime Stoppers anonymously at 416-222-TIPS (8477), online at www.222tips.com, online on our Facebook Leave a Tip page, or text TOR and your message to CRIMES (274637). Download the free Crime Stoppers Mobile App on iTunes or Google Play.


For more news, visit TPSnews.ca."
20,"Man sought in stabbing investigation, Sherbourne Streeet and Shuter Street area",http://torontopolice.on.ca/newsreleases/47454,b3856@torontopolice.on.ca (b3856),"Sat, 27 Jun 2020 10:30:00 -0400",-79.3722937,43.6561671,"The Toronto Police Service requests the public's assistance identifying a man as part of a stabbing investigation.

On Thursday, June 25, 2020, at approximately 1 a.m., officers responded to a call for a stabbing in the Sherbourne Street and Shuter Street area.

It is reported that:

- a 38-year-old man was in the Moss Park area

- he was approached by another man

- they became involved in an altercation

- the 38-year-old man was attacked with a box cutter and machete

- he was transported to hospital with serious injuries

- the suspect fled the area

The suspect is described as black, mid 20s, 5'10"", medium build, and unshaven.  He was wearing a red scarf tied around his left arm and had no shirt on.

He is believed to be violent, armed and dangerous.  If located, do not approach.  Call 9-1-1 immediately.

Anyone who has dashcam video, or any business owners in the area who may have security camera video, is asked to contact investigators.


Anyone with information is asked to contact police at 416-808-5100, Crime Stoppers anonymously at 416-222-TIPS (8477), online at www.222tips.com, online on our Facebook Leave a Tip page, or text TOR and your message to CRIMES (274637). Download the free Crime Stoppers Mobile App on iTunes or Google Play.


For more news, visit TPSnews.ca."
21,"Man sought in assault and mischief investigation, Queen Street West and Dunn Avenue area",http://torontopolice.on.ca/newsreleases/47457,b9231@torontopolice.on.ca (b9231),"Sat, 27 Jun 2020 09:27:00 -0400",-79.4367014,43.6410227,"The Toronto Police Service requests the public's assistance identifying a man as part of an assault and mischief investigation.

On Monday, May 11, 2020, at 6:30 p.m., officers responded to a call for an assault in the Queen Street West and Dunn Avenue area.

It is reported that:

- a 73-year-old man was assaulted

- the victim&#8217;s glasses and hearing aid were broken as a result of the assault

- the suspect was last seen walking northbound on Dunn Avenue towards Queen Street West

The suspect is described as a man, 30 to 40, medium build, short black hair, and clean shaven. He was wearing a black and white wind breaker with white piping, dark pants, black NIKE shoes with white soles and a white NIKE symbol, blue baseball cap with a white symbol on the front and a shiny sticker on the brim.

Security camera images of the suspect have been released.

Anyone with information is asked to contact police at 416-808-1400, Crime Stoppers anonymously at 416-222-TIPS (8477), online at www.222tips.com, online on our Facebook Leave a Tip page, or text TOR and your message to CRIMES (274637). Download the free Crime Stoppers Mobile App on iTunes or Google Play.


For more news, visit TPSnews.ca."
22,"Missing man, Silverthorn Avenue and St Clair Avenue West area, Jose Carvalho, 66",http://torontopolice.on.ca/newsreleases/47456,b3856@torontopolice.on.ca (b3856),"Fri, 26 Jun 2020 22:08:00 -0400",-79.385269,43.661188,"The Toronto Police Service requests the public&#8217;s assistance locating a missing man.

Jose Carvalho, 66, was last seen on Friday, June 26, 2020, at 12:30 p.m., in the Silverthorn Avenue and St Clair Avenue West area.  

He is described as 5&#8217;7"", 174 lbs., with a slim build, white hair, white beard, and hazel eyes. He was last seen wearing a green t-shirt and beige shorts.

Police are concerned for his safety.

Anyone with information is asked to contact police at 416-808-1200, Crime Stoppers anonymously at 416-222-TIPS (8477), online at www.222tips.com, online on our Facebook Leave a Tip page, or text TOR and your message to CRIMES (274637). Download the free Crime Stoppers Mobile App on iTunes or Google Play.


For more news, visit TPSnews.ca."
23,"Missing woman,  Pharmacy Avenue and St Clair Avenue East area,  Rosealene Langdon, 44",http://torontopolice.on.ca/newsreleases/47455,b3856@torontopolice.on.ca (b3856),"Fri, 26 Jun 2020 21:54:00 -0400",-79.2931289,43.7098615,"The Toronto Police Service requests the public&#8217;s assistance locating a missing woman. 

Rosealene Langdon, 44, was last seen on Monday, June 22, 2020, at 8:20 p.m., in the Pharmacy Avenue and St. Clair Avenue East area.

She is described as 5'4"" to 5'6"", 175 lbs., with a heavy build, and long grey hair in a ponytail. She was last seen wearing a blue jacket, black pants, white 'Nike' running shoes and carrying an over-sized blue and yellow bag with the words &#8220;the best is yet to come&#8221; written on it. 

Police are concerned for her safety.

Anyone with information is asked to contact police at 416-808-1300, Crime Stoppers anonymously at 416-222-TIPS (8477), online at www.222tips.com, online on our Facebook Leave a Tip page, or text TOR and your message to CRIMES (274637). Download the free Crime Stoppers Mobile App on iTunes or Google Play.


For more news, visit TPSnews.ca."
24,"Missing girl located, Fountainhead Road and Finch Avenue West area, Zoria Bulze, 15",http://torontopolice.on.ca/newsreleases/47453,b3856@torontopolice.on.ca (b3856),"Fri, 26 Jun 2020 20:09:00 -0400",-79.385269,43.661188,"The Toronto Police Service would like to thank the public for their assistance locating a missing girl.

Zoria Bulze, 15, was last seen on Thursday, June 25, 2020, between 12 a.m. and 6 a.m., in the Fountainhead Road and Finch Avenue West area.

See previous release.

She was located on Friday, June 26, 2020, at 4:54 p.m.


For more news, visit TPSnews.ca."
25,"Homicide #32/2020, Vanderhoof Avenue and Research Road area, Man wanted for First Degree Murder and Attempt Murder, Maviya Tahir, 18",http://torontopolice.on.ca/newsreleases/47452,b3856@torontopolice.on.ca (b3856),"Fri, 26 Jun 2020 17:50:00 -0400",-79.3531608,43.7135992,"The Toronto Police Service would like to update the public on a homicide investigation.

On Tuesday, June 9, 2020, at 7:30 p.m., police responded to a radio call for the sound of multiple gunshots in the Vanderhoof Avenue and Research Road area.

See previous release.

A warrant has been issued for the arrest of Maviya Tahir, 18, of Toronto.  He is wanted for:

1)  First Degree Murder
2)  Attempt Murder

He is described as 5'10"", 150 lbs., with a light complexion.

He is believed to be armed, violent, and dangerous.  If located, do not approach.  Call 9-1-1 immediately.


Anyone with information is asked to contact police at 416-808-7400, Crime Stoppers anonymously at 416-222-TIPS (8477), online at www.222tips.com, online on our Facebook Leave a Tip page, or text TOR and your message to CRIMES (274637). Download the free Crime Stoppers Mobile App on iTunes or Google Play.


For more news, visit TPSnews.ca."
26,"Suspicious Threat Investigation, Coxwell Avenue and Sammon Avenue area",http://torontopolice.on.ca/newsreleases/47449,b87793@torontopolice.on.ca (b87793),"Fri, 26 Jun 2020 16:30:00 -0400",-79.3280258,43.6887744,"The Toronto Police Service would like to make the public aware of a Suspicious Threat investigation.

On Wednesday, June 10, 2020, at approximately 12:31 p.m. police responded to a radio call in the Coxwell Avenue and Sammon Avenue area.

It has been reported that:

- workers assigned to a closed construction site, which is not accessible to the general public, arrived at work to find nooses attached to their construction equipment

Toronto Police has been actively investigating this incident and investigators have engaged the Hate Crime Unit.  Additionally, both the construction company and owners of the site have been assisting with the investigation.  

Investigators are appealing to anyone with information to contact 55 Division at 416-808-5500 or Crime Stoppers to remain anonymous.

Anyone with information is asked to contact police at 416-808-5500, Crime Stoppers anonymously at 416-222-TIPS (8477), online at www.222tips.com, online on our Facebook Leave a Tip page, or text TOR and your message to CRIMES (274637). Download the free Crime Stoppers Mobile App on iTunes or Google Play.


For more news, visit TPSnews.ca."
27,"Media Advisory, Friday, June 26, 2020, 4:15 p.m., Chief Saunders will address the decision by Justice Joseph Di Luca in the matter of  Mr. Dafonte Miller and Toronto Police Service Constable Michael Theriault and his brother Christian Theriault, Toronto Police Headquarters, Media Gallery",http://torontopolice.on.ca/newsreleases/47418,b87793@torontopolice.on.ca (b87793),"Fri, 26 Jun 2020 15:30:00 -0400",-79.385269,43.661188,"On Friday, June 26, 2020 at 4:15 p.m., Chief Mark Saunders will be available to the media regarding the decision by Justice Joseph Di Luca in the matter of Mr. Dafonte Miller and Toronto Police Service Constable Michael Theriault and his brother Christian Theriault. 

The news conference will be available on the Bell TOC and live-streamed on YouTube.

Due to COVID-19 precautions, media may join online through WebEx. Please email Meaghan Gray at meaghan.gray@torontopolice.on.ca for a meeting invitation.

Please note a meeting invitation must be requested for every news conference. Previously-issued links will not provide access.

The meeting will open at 4 p.m. Logins will close at 4:10 p.m.

Instructions to join the video conference:

You can use a desktop computer, an iOS, or Android device to join the meeting. For best user experience, we suggest downloading the WebEx Meet app to your mobile device (phone or tablet).

Please do not simply call into the meeting. For best results, and to avoid audio issues, media need to enter the meeting through a computer or via the mobile app.

1. Attach a wired headset
2. Using your device, click on the meeting number to join the meeting
3. In the &#8220;Name&#8221; field, enter your first and last name and your media outlet
4. Click the Join Meeting button
5. If on a desktop, the meeting will prompt you to connect audio and video
a. Select Audio Connection
i. Choose &#8220;Call Using Computer"" from the dropdown menu
b. Select Video Connection
i. Choose &#8220;No Video&#8221; from the dropdown menu
c. Click more options (below audio connection info)
d. Click test to hear speaker audio
e. Speak to view microphone volume
f. Click okay
6. Click the Connect Audio button

Meeting Protocol:

Upon entering the meeting, you will be automatically muted.

We will do a roll call in advance of the meeting start time to perform an audio check with each participant.

If you wish to ask a question, please click the hand icon to raise your hand (it will turn blue).

You will be placed in queue and called by name and outlet when it's your turn.

When you are called on, you will be unmuted by the moderator. Do not touch your mute/unmute button. You can ask one question and one follow up.




For more news, visit TPSnews.ca."
28,"Missing Man Located, Kennedy Road and Progress Avenue area, Robert Ellett, 79",http://torontopolice.on.ca/newsreleases/47451,b9231@torontopolice.on.ca (b9231),"Fri, 26 Jun 2020 13:09:00 -0400",-79.2843796,43.7694526,"The Toronto Police Service would like to thank the public for their assistance locating a missing man.

Robert Ellett, 79, was last seen on Tuesday, June 23, 2020, in the Kennedy Road and Progress Avenue area.

See previous release. 

He was located on Friday, June 26, 2020, at 12:42 p.m."
